U,NoS,PI,Flow,Timestamp,Period,production,jacket_P,b_e
NA,16,NA,NA,2021-03-13 00:00:00,2103,NA,NA,Beginning
NA,16,NA,NA,2021-09-08 00:00:00,2103,NA,NA,End
NA,46,NA,NA,2021-10-04 00:00:00,2109,NA,NA,Beginning
NA,46,NA,NA,2022-04-13 00:00:00,2109,NA,NA,End
NA,50,NA,NA,2022-07-03 00:00:00,2206,NA,NA,Beginning
NA,50,NA,NA,2022-10-15 00:00:00,2206,NA,NA,End
NA,75,NA,NA,2023-02-16 00:00:00,2302,NA,NA,Beginning
NA,75,NA,NA,2023-04-01 00:00:00,2302,NA,NA,End
NA,212,NA,NA,2024-04-13 00:00:00,2404,NA,NA,Beginning
NA,212,NA,NA,2025-06-30 00:00:00,2404,NA,NA,End
